"","mem_no","crm_group","time","first_logon","first_dlvry","ord_cnt","cluster","is_churn","risk_ratio","is_logon","is_dlvry"
"8626","D7C541F1B0BBEFEE25901DA6CA0FC4473DD4FA1580E6D78E5CFF580270258593","control",2023-11-24,2023-11-24 14:52:00,NA,0,"part_peak","NO",2.75510204081633,1,0
"8627","055CFD95CE3883959EC79DE291B3811DE219410C772C95A3C2587A6C51FF1F25","test",2023-11-24,2023-11-24 11:00:00,2023-11-24 11:02:00,31,"part_all","NO",4.09090909090909,1,1
"8628","E6ED7CF405DF5CB2B3B9CEA2ADCCE8C1A403131FA535F9944FF75CD1E08F13DD","control",2023-11-24,2023-11-24 19:39:00,2023-11-24 19:39:00,4,"part_peak","NO",5.72727272727273,1,1
"8629","6B234D7AB15164A5B1F55ED4DDB2218A26C47F8B52D0A3E45D599A1D4B9983C8","control",2023-11-24,NA,NA,0,"part_peak","YES",7.53846153846154,0,0
"8630","F0647FFA38D84A71DCFA4CA9D20475615C92B67D1F5B884B5AD105CA0E55D0BB","control",2023-11-24,NA,NA,0,"part_all","YES",48.7142857142857,0,0
"8631","3C96F84BB9B7189FB411DA8BBBBD463C5A5A8BE0FB24F1F5ADF17F17A351B5B5","control",2023-11-24,NA,NA,0,"part_all","YES",30.7142857142857,0,0
"8632","A83CA4FFADF814160E6F8D8E4FAE7D9C4B4989F411BD66A1E3A090C2512BF13C","test",2023-11-24,NA,NA,0,"part_peak","YES",31.3333333333333,0,0
"8633","FF517BB71A7A05972CAF0996FCDBE5E19A937D67B4589C63D3A438D23E977D0D","control",2023-11-24,NA,NA,0,"part_all","YES",18.768115942029,0,0
"8634","76E49369751C19D782D1AA47FEC6C29E8F0C906C3DBB3256BC9F99C30270C0AA","control",2023-11-24,NA,NA,0,"part_all","YES",15.2575757575758,0,0
"8635","848E0D927009F7069D321D68ADD3DDD2ED666BA19E7E740E12FC211B98D45F07","control",2023-11-24,NA,NA,0,"part_all","YES",4.01785714285714,0,0
"8636","5341F62B02BD46EDC24A642AB880FAEE92B888354F663472BF5D028D9665B891","test",2023-11-24,NA,NA,0,"part_peak","YES",3.58333333333333,0,0
"8637","62E8A0C32EC755F88428FB89DE756459C40CAF0791CF21BB123588B3081C2FC9","control",2023-11-24,NA,NA,0,"part_peak","YES",23.7704918032787,0,0
"8638","CF938D355420A3B5F36ECDF4B3EE715BDEC54BA239A5A515449D22320B7F1A2E","control",2023-11-24,NA,NA,0,"part_peak","NO",4.33333333333333,0,0
"8639","3DD99DDB7D37C0CF1EF6F675898CA49DCD83755022BE5540F569737E92014EDD","control",2023-11-24,NA,NA,0,"part_peak","YES",12.2222222222222,0,0
"8640","6135FF71287412F47BE557054C21757D6BC44E5F58C9502B535BF44E15B8AEEA","test",2023-11-24,2023-11-24 17:17:00,2023-11-24 17:30:00,11,"part_all","NO",9.5940594059406,1,1
"8641","34B76FD5FEDC3327AB0A39F71F372653ECADDD43C152D6A8AFB9CDDD753081A6","control",2023-11-24,NA,NA,0,"part_peak","YES",35.7777777777778,0,0
"8642","D437A68FA0A8A21E5E51034E42F4C192F43D1660B393215404DE22FF649879F2","test",2023-11-24,NA,NA,0,"part_peak","YES",5.7,0,0
"8643","86BAE3A6C90309F612925FE9B9ADB7A02307C1172D0B49C5DA6EBFA5E0B48C77","test",2023-11-24,NA,NA,0,"part_peak","YES",1.4375,0,0
"8644","D8499C319E3F48A9C8438A3314124DDE031FCA8FC7C742ACCDC709A3D9FAFB1B","test",2023-11-24,NA,NA,0,"part_peak","YES",29.5,0,0
"8645","AB52E845D6DBF8E845716BF54B87384561B88A206D03D1D022639207FA9A4EAF","control",2023-11-24,NA,NA,0,"part_peak","NO",4.25,0,0
"8646","BA0510D9680C10C96AAAB4AA29D6D8A7F09419C04A137987E4DECB89EBEA8F14","test",2023-11-24,NA,NA,0,"part_all","NO",4.57142857142857,0,0
"8647","CA37051F5ED19FED25EED2709BB8ACB0648F3C793737518BD173E08279A6831D","control",2023-11-24,NA,NA,0,"part_peak","YES",3.1578947368421,0,0
"8648","509A66C5F0E1D9AF4648C4B2FA96A3861E456CD6BE0D37E7C4423FF580477201","control",2023-11-24,NA,NA,0,"part_peak","YES",37.5,0,0
